HTime,HThrottle,HBrake,HDRS,HRPM,HSpeed,HnGear,HLapPercentage
2021-09-05 00:00:25.208 +0000 UTC,100,0,8,11465,281,7,0.36846411500004767
2021-09-05 00:00:25.275 +0000 UTC,99,0,8,11452,281,7,0.369696206950244
2021-09-05 00:00:25.448 +0000 UTC,99,0,8,11439,281,7,0.3728773275459
2021-09-05 00:00:25.495 +0000 UTC,95,0,8,11425,281,7,0.37374200519386347
2021-09-05 00:00:25.688 +0000 UTC,91,0,8,11412,281,7,0.3772905400917524
2021-09-05 00:00:25.715 +0000 UTC,91,0,8,11402,280,7,0.377785642953258
2021-09-05 00:00:25.927 +0000 UTC,92,0,8,11392,279,7,0.3816540843647355
2021-09-05 00:00:25.935 +0000 UTC,89,0,8,11342,277,7,0.38179901752935297
2021-09-05 00:00:26.155 +0000 UTC,86,0,8,11292,276,7,0.3857577931968178
2021-09-05 00:00:26.167 +0000 UTC,83,0,8,11242,275,7,0.38597306461423514
2021-09-05 00:00:26.375 +0000 UTC,81,0,8,11142,274,7,0.3896935454172362
2021-09-05 00:00:26.407 +0000 UTC,80,0,8,11043,273,7,0.3902606340982838
2021-09-05 00:00:26.595 +0000 UTC,82,0,8,11038,270,7,0.3935591583638896
2021-09-05 00:00:26.647 +0000 UTC,85,0,8,11033,268,7,0.3944696766687053
2021-09-05 00:00:26.815 +0000 UTC,92,0,8,10989,268,7,0.3974180557902378
2021-09-05 00:00:26.887 +0000 UTC,100,0,8,10946,268,7,0.39867871923912673
2021-09-05 00:00:27.035 +0000 UTC,100,0,8,10939,267,7,0.40125777155335124
2021-09-05 00:00:27.127 +0000 UTC,100,0,8,10933,266,7,0.4028563510440974
2021-09-05 00:00:27.255 +0000 UTC,100,0,8,10874,265,7,0.4050779538963782
2021-09-05 00:00:27.367 +0000 UTC,100,0,8,10816,265,7,0.40701827746634245
2021-09-05 00:00:27.475 +0000 UTC,100,0,8,10822,264,7,0.40888521192137317
2021-09-05 00:00:27.607 +0000 UTC,100,0,8,10828,264,7,0.4111644985058621
2021-09-05 00:00:27.695 +0000 UTC,100,0,8,10818,264,7,0.41268461330334105
2021-09-05 00:00:27.808 +0000 UTC,100,0,8,10808,264,7,0.41463695862645983
2021-09-05 00:00:27.915 +0000 UTC,100,0,8,10824,264,7,0.41648558923098666
2021-09-05 00:00:28.048 +0000 UTC,100,0,8,10840,264,7,0.4187831796659795
2021-09-05 00:00:28.135 +0000 UTC,100,0,8,10830,264,7,0.42028582995742464
2021-09-05 00:00:28.288 +0000 UTC,100,0,8,10821,264,7,0.4229294007054991
2021-09-05 00:00:28.355 +0000 UTC,100,0,8,10856,264,7,0.42408831575834705
2021-09-05 00:00:28.528 +0000 UTC,100,0,8,10892,265,7,0.4270913271277442
2021-09-05 00:00:28.575 +0000 UTC,100,0,8,10910,266,7,0.4279126483694358
2021-09-05 00:00:28.768 +0000 UTC,100,0,8,10928,268,7,0.43130036969816565
2021-09-05 00:00:28.776 +0000 UTC,100,0,8,10960,268,7,0.4314406303593519
2021-09-05 00:00:28.996 +0000 UTC,100,0,8,10992,268,7,0.4352941957564021
2021-09-05 00:00:29.048 +0000 UTC,100,0,8,11024,268,7,0.43621091936365736
2021-09-05 00:00:29.216 +0000 UTC,100,0,8,11051,270,7,0.43919644571896316
2021-09-05 00:00:29.288 +0000 UTC,100,0,8,11078,272,7,0.44048278346498065
2021-09-05 00:00:29.435 +0000 UTC,100,0,8,11132,273,7,0.44311669928783837
2021-09-05 00:00:29.528 +0000 UTC,100,0,8,11187,274,7,0.4447860583317549
2021-09-05 00:00:29.655 +0000 UTC,100,0,8,11237,274,7,0.4470674197754084
2021-09-05 00:00:29.768 +0000 UTC,100,0,8,11288,275,7,0.4491050385812545
2021-09-05 00:00:29.875 +0000 UTC,100,0,8,11272,276,7,0.4510459199554607
2021-09-05 00:00:30.008 +0000 UTC,100,0,8,11256,278,7,0.45347113497893055
2021-09-05 00:00:30.095 +0000 UTC,100,0,8,11339,279,7,0.4550631248882616
2021-09-05 00:00:30.248 +0000 UTC,100,0,8,11423,280,7,0.4578686421420574
2021-09-05 00:00:30.315 +0000 UTC,67,50,8,11281,278,7,0.45909666485193523
2021-09-05 00:00:30.488 +0000 UTC,35,100,8,11140,277,7,0.462219033157008
2021-09-05 00:00:30.535 +0000 UTC,31,100,8,10966,270,7,0.46303585302410016
2021-09-05 00:00:30.755 +0000 UTC,27,100,8,10792,263,7,0.4666982791537172
2021-09-05 00:00:30.768 +0000 UTC,23,100,8,10618,256,7,0.46690970746434335
2021-09-05 00:00:30.975 +0000 UTC,21,50,8,10883,250,7,0.470220926913438
2021-09-05 00:00:31.008 +0000 UTC,20,0,8,11149,244,7,0.470741820849354
2021-09-05 00:00:31.195 +0000 UTC,33,0,8,11068,241,7,0.47366321933659555
2021-09-05 00:00:31.248 +0000 UTC,47,0,8,10987,238,6,0.4744797019380118
2021-09-05 00:00:31.415 +0000 UTC,61,0,8,11005,235,6,0.47701821280011075
2021-09-05 00:00:31.488 +0000 UTC,76,0,8,11024,232,6,0.478123350730317
2021-09-05 00:00:31.635 +0000 UTC,82,0,8,11177,232,6,0.480353868257442
2021-09-05 00:00:31.768 +0000 UTC,89,0,8,11330,232,6,0.4823742743213396
2021-09-05 00:00:31.855 +0000 UTC,94,0,8,11306,232,6,0.48369540321003485
2021-09-05 00:00:32.008 +0000 UTC,100,0,8,11283,233,6,0.4860336284963702
2021-09-05 00:00:32.075 +0000 UTC,100,0,8,11277,236,6,0.48707281285991705
2021-09-05 00:00:32.248 +0000 UTC,100,0,8,11272,239,6,0.48978721496775357
2021-09-05 00:00:32.295 +0000 UTC,100,0,8,11321,240,6,0.4905268542889384
2021-09-05 00:00:32.488 +0000 UTC,100,0,8,11371,241,6,0.49357221220458763
